energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
288.67435,0.000405,0.25477707,0.013731148,0.013731148,0.99981141,1.1127632,1,7.63E-08,7.63E-08,0.000404583,0,0,0,2,145,8
288.70883,0.000264,0.25477707,0.025650019,0.025650019,0.99934185,2.0788605,1,1.73E-07,1.73E-07,0.000263211,0,0,0,10,149,8
288.71655,0.002415,0.25477707,0.003398462,0.003398462,0.99998844,0.27553639,1,2.79E-08,2.79E-08,0.00241504,0,0,0,8,128,8
288.7384,0.002209,0.25477707,0.001045138,0.001045138,0.99999893,0.083929375,1,2.41E-09,2.41E-09,0.002208644,0,0,0,9,128,8
288.78168,0.00031,0.25477707,0.007851483,0.007851483,0.99993837,0.63612163,1,1.91E-08,1.91E-08,0.000310486,0,0,0,11,150,8
288.78287,0.002326,0.25477707,0.000205113,0.000205113,0.99999994,0.01978234,1,9.79E-11,9.79E-11,0.002325921,0,0,0,1,128,8
288.78806,0.000837,0.25477707,0.000608755,0.000608755,0.99999964,0.048456643,1,3.10E-10,3.10E-10,0.000837271,0,0,0,10,152,8
288.79172,0.000869,0.25477707,0.008687255,0.008687255,0.99992454,0.70387781,1,6.56E-08,6.56E-08,0.000868701,0,0,0,7,153,8
288.79276,0.000338,0.25477707,0.041344702,0.041344702,0.99828917,3.3519943,1,5.78E-07,5.78E-07,0.000337125,0,0,0,2,149,8
288.84021,0.00257,0.25477707,3.89E-06,3.89E-06,1,0,1,3.89E-14,3.89E-14,0.002570406,0,0,0,16,128,8
288.84641,0.000273,0.25477707,0.007440607,0.007440607,0.99994463,0.60295868,1,1.51E-08,1.51E-08,0.000273238,0,0,0,14,150,8
288.85376,0.00084,0.25477707,0.001280146,0.001280146,0.99999839,0.10279207,1,1.38E-09,1.38E-09,0.000839663,0,0,0,15,152,8
288.86069,0.000352,0.25477707,0.003525019,0.003525019,0.9999876,0.28530526,1,4.37E-09,4.37E-09,0.000351957,0,0,0,3,150,8
288.86392,0.000586,0.25585619,0.011991085,0.011991085,0.99985617,0.97176564,1,8.43E-08,8.43E-08,0.000586309,0,0,0,7,155,8
288.87537,0.000941,0.25477707,0.019357633,0.019357633,0.99962521,1.5687275,1,3.53E-07,3.53E-07,0.00094023,0,0,0,2,152,8
288.88785,0.000253,0.25775665,0.003165136,0.003165136,0.99998999,0.25640866,1,2.53E-09,2.53E-09,0.000252681,0,0,0,10,155,8
288.93582,0.000287,0.25477707,0.042862203,0.042862203,0.99816114,3.4751925,1,5.28E-07,5.28E-07,0.000286206,0,0,0,16,129,8
288.94547,0.000562,0.25477707,0.031335775,0.031335775,0.9990176,2.5399091,1,5.52E-07,5.52E-07,0.000561419,0,0,0,8,131,8
288.95306,0.000263,0.25782874,0.000640379,0.000640379,0.99999958,0.052339155,1,1.08E-10,1.08E-10,0.000262688,0,0,0,15,155,8
288.9556,0.000485,0.26525518,0.008610142,0.008610142,0.99992585,0.69773507,1,3.60E-08,3.60E-08,0.000485426,0,0,0,11,155,8
288.98636,0.000626,0.26015285,0.014594698,0.014594698,0.99978697,1.1826675,1,1.33E-07,1.33E-07,0.000626029,0,0,0,2,156,8
288.98703,0.000544,0.26515925,0.011674831,0.011674831,0.99986368,0.9460535,1,7.41E-08,7.41E-08,0.000543398,0,0,0,6,155,8
288.99026,0.000338,0.26853558,0.002397459,0.002397459,0.99999428,0.19382666,1,1.94E-09,1.94E-09,0.000338198,0,0,0,5,155,8
288.99686,0.000333,0.27561739,0.01205554,0.01205554,0.99985462,0.97698712,1,4.85E-08,4.85E-08,0.000333374,0,0,0,10,158,8
289.00189,0.000578,0.25477707,0.007636411,0.007636411,0.99994171,0.61865598,1,3.37E-08,3.37E-08,0.00057834,0,0,0,9,131,8
289.01691,0.000386,0.26528066,0.000752091,0.000752091,0.99999946,0.059347026,1,2.18E-10,2.18E-10,0.000386193,0,0,0,14,155,8
289.02292,0.000353,0.28117234,0.067117296,0.067117296,0.99548507,5.4466166,1,1.59E-06,1.59E-06,0.000350006,0,0,0,13,157,8
289.03436,0.000599,0.25477707,0.019491306,0.019491306,0.99962002,1.5795432,1,2.28E-07,2.28E-07,0.000598705,0,0,0,1,131,8
289.03818,0.000356,0.26577571,0.02033202,0.02033202,0.99958652,1.6477014,1,1.47E-07,1.47E-07,0.000355798,0,0,0,3,155,8
289.05307,0.000496,0.27425051,0.058833979,0.058833979,0.99653256,4.7727394,1,1.72E-06,1.72E-06,0.000492928,0,0,0,15,158,8
289.0629,0.000601,0.28282684,0.34474269,0.34474269,0.87310076,29.179008,1,7.15E-05,7.15E-05,0.000458317,0,0,0,11,158,8
289.0658,0.000351,0.28818953,0.060354538,0.060354538,0.99635065,4.89641,1,1.28E-06,1.28E-06,0.000348219,0,0,0,13,159,8
289.07428,0.000324,0.27169928,0.013374128,0.013374128,0.99982113,1.0837202,1,5.80E-08,5.80E-08,0.000324322,0,0,0,3,157,8
